INFO - 2024-06-09 01:02:18,224: Servidor foi inicializado!
INFO - 2024-06-09 01:02:35,595: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-21'
INFO - 2024-06-09 01:02:35,595: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 22'
INFO - 2024-06-09 01:02:35,595: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-22'
INFO - 2024-06-09 01:02:35,595: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 23'
INFO - 2024-06-09 01:02:35,596: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-23'
INFO - 2024-06-09 01:02:35,596: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 24'
INFO - 2024-06-09 01:02:35,596: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-24'
INFO - 2024-06-09 01:02:35,596: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 25'
INFO - 2024-06-09 01:02:35,596: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-25'
INFO - 2024-06-09 01:02:35,596: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 26'
INFO - 2024-06-09 01:02:35,596: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-26'
INFO - 2024-06-09 01:02:35,597: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 27'
INFO - 2024-06-09 01:02:35,597: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-27'
INFO - 2024-06-09 01:02:35,597: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 28'
INFO - 2024-06-09 01:02:35,597: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-28'
INFO - 2024-06-09 01:02:35,597: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 29'
INFO - 2024-06-09 01:02:35,597: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-29'
INFO - 2024-06-09 01:02:35,597: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 30'
INFO - 2024-06-09 01:02:35,597: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-30'
INFO - 2024-06-09 01:02:35,597: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 31'
INFO - 2024-06-09 01:02:35,598: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-31'
INFO - 2024-06-09 01:02:35,598: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 32'
INFO - 2024-06-09 01:02:35,598: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-32'
INFO - 2024-06-09 01:02:35,598: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 33'
INFO - 2024-06-09 01:02:35,598: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-33'
INFO - 2024-06-09 01:02:35,598: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 34'
INFO - 2024-06-09 01:02:35,598: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-34'
INFO - 2024-06-09 01:02:35,598: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 35'
INFO - 2024-06-09 01:02:35,599: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-35'
INFO - 2024-06-09 01:02:35,599: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 36'
INFO - 2024-06-09 01:02:35,599: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-36'
INFO - 2024-06-09 01:02:35,599: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 37'
INFO - 2024-06-09 01:02:35,599: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-37'
INFO - 2024-06-09 01:02:35,599: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 38'
INFO - 2024-06-09 01:02:35,599: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-38'
INFO - 2024-06-09 01:02:35,599: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 39'
INFO - 2024-06-09 01:02:35,600: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-39'
INFO - 2024-06-09 01:02:35,600: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 40'
INFO - 2024-06-09 01:02:35,600: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-40'
INFO - 2024-06-09 01:02:35,600: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 41'
INFO - 2024-06-09 01:02:35,600: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-41'
INFO - 2024-06-09 01:02:35,600: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 42'
INFO - 2024-06-09 01:02:35,600: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-42'
INFO - 2024-06-09 01:02:35,600: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 43'
INFO - 2024-06-09 01:02:35,601: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-43'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 44'
INFO - 2024-06-09 01:02:35,601: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-44'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 45'
INFO - 2024-06-09 01:02:35,601: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-45'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 46'
INFO - 2024-06-09 01:02:35,601: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-46'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 47'
INFO - 2024-06-09 01:02:35,602: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-47'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 48'
INFO - 2024-06-09 01:02:35,602: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-48'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 49'
INFO - 2024-06-09 01:02:35,602: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-49'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 50'
INFO - 2024-06-09 01:02:35,602: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-50'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 51'
INFO - 2024-06-09 01:02:35,603: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-51'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 52'
INFO - 2024-06-09 01:02:35,603: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-52'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 53'
INFO - 2024-06-09 01:02:35,603: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-53'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 54'
INFO - 2024-06-09 01:02:35,603: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-54'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 55630) - Enviado:  'Pacote 55'
INFO - 2024-06-09 01:02:35,603: Remetente: ('127.0.0.1', 55630) - Recebido: 'ACK-55'
INFO - 2024-06-09 01:02:35,603: OK-4-Todos os 55 foram enviados!
INFO - 2024-06-09 01:02:39,537: Remetente: ('127.0.0.1', 55630) - Recebido: 'OPTION-2-Chat'
INFO - 2024-06-09 01:02:40,709: Remetente: ('127.0.0.1', 55630) - Chat recebido: 'oi'
INFO - 2024-06-09 01:02:44,459: Destinatário: ('127.0.0.1', 55630) - Chat enviado:  'sair'
WARNING - 2024-06-09 01:02:44,459: OK-6-Saída do Chat pelo Servidor!
INFO - 2024-06-09 01:02:48,520: Remetente: ('127.0.0.1', 55630) - Recebido: 'OPTION-3-Desconectando do Servidor'
INFO - 2024-06-09 01:02:48,520: Remetente: ('127.0.0.1', 55630) - Recebido: 'OK-8-Desconectar servidor'
WARNING - 2024-06-09 01:02:48,521: Cliente desconectado: ('127.0.0.1', 55630)
INFO - 2024-06-09 01:02:48,521: Destinatário: ('127.0.0.1', 55630) - Enviado:  'OK-8-Desconectado'
