INFO - 2024-06-09 01:02:24,673: Iniciando conexão com Servidor
INFO - 2024-06-09 01:02:35,600: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-42'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-43'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-44'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-45'
INFO - 2024-06-09 01:02:35,601: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-46'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-47'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-48'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-49'
INFO - 2024-06-09 01:02:35,602: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-50'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-51'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-52'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-53'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-54'
INFO - 2024-06-09 01:02:35,603: Destinatário: ('127.0.0.1', 6000) - Enviado:  'ACK-55'
INFO - 2024-06-09 01:02:35,614: OK-4-Arquivo transferido com sucesso!
INFO - 2024-06-09 01:02:39,537: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OPTION-2-Chat'
INFO - 2024-06-09 01:02:40,709: Destinatário: ('127.0.0.1', 6000) - Chat enviado:  'oi'
INFO - 2024-06-09 01:02:44,459: Remetente: ('127.0.0.1', 6000) - Chat recebido: 'sair'
WARNING - 2024-06-09 01:02:44,459: OK-6-Saída do Chat pelo Servidor!
INFO - 2024-06-09 01:02:48,520: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OPTION-3-Desconectando do Servidor'
INFO - 2024-06-09 01:02:48,520: Destinatário: ('127.0.0.1', 6000) - Enviado:  'OK-8-Desconectar servidor'
INFO - 2024-06-09 01:02:48,521: Remetente: ('127.0.0.1', 6000) - Recebido: 'OK-8-Desconectado'
